20,10,,,,,,
30,12,,,,,,
40,17,,,,,,
43,17,,,,,,
45,17,,,,,,
50,17,,,,,,
53,17,,,,,,
54,17,,,,,,
60,18,,,,,,
62,18,,,,,,
65,20,,,,,,
70,20,,,,,,
75,20,,,,,,
76,20,,,,,,
80,20,,,,,,
85,20,,,,,,
88,25,,,,,,
90,25,,,,,,
95,25,,,,,,
97,25,,,,,,
98,25,,,,,,
100,25,,,,,,
105,25,,,,,,
110,27,,,,,,
115,30,,,,,,
116,30,,,,,,
118,30,,,,,,
120,30,,,,,,
125,30,,,,,,
130,33,,,,,,
131,35,,,,,,
132,35,,,,,,
135,35,,,,,,
140,35,,,,,,
150,40,,,,,,
160,40,,,,,,
170,43,,,,,,
180,46,,,,,,
200,43,,,,,,
